,game_fr,game_en,platform,website_rating,public_rating,publishor/developer,release,type,classification,url,description
6382,Harry Potter et l'Ordre du Phénix,Harry Potter and the Order of the Phoenix,Wii,11/20,--/20,Electronic Arts,28 Juin 2007,Action Aventure,+7 ans,http://www.jeuxvideo.com/jeux/jeu-65326/," Avis à tous les Moldus, Celui-Dont-Le-Front-Est-Zébré-Par-Un-Eclair s'apprête à revenir sur le devant de la scène pour une aventure que se partagent toutes les consoles de salon de la galaxie, conformément à la politique multi plates-formes d'Electronic Arts. Harry Potter Et L'Ordre Du Phénix, un jeu basé sur le film du même nom plus que sur le roman de la richissime J.K. Rowling, précède donc de quelques jours les nouvelles pérégrinations pelliculées du petit sorcier et vous propose pour la première fois d'explorer librement Poudlard."
6383,Harry Potter et l'Ordre du Phénix,Harry Potter and the Order of the Phoenix,PS2,11/20,--/20,Electronic Arts,28 Juin 2007,Action Aventure,+7 ans,http://www.jeuxvideo.com/jeux/jeu-65326/," Avis à tous les Moldus, Celui-Dont-Le-Front-Est-Zébré-Par-Un-Eclair s'apprête à revenir sur le devant de la scène pour une aventure que se partagent toutes les consoles de salon de la galaxie, conformément à la politique multi plates-formes d'Electronic Arts. Harry Potter Et L'Ordre Du Phénix, un jeu basé sur le film du même nom plus que sur le roman de la richissime J.K. Rowling, précède donc de quelques jours les nouvelles pérégrinations pelliculées du petit sorcier et vous propose pour la première fois d'explorer librement Poudlard."
6384,Harry Potter et l'Ordre du Phénix,Harry Potter and the Order of the Phoenix,PS3,11/20,--/20,Electronic Arts,28 Juin 2007,Action Aventure,+7 ans,http://www.jeuxvideo.com/jeux/jeu-65326/," Avis à tous les Moldus, Celui-Dont-Le-Front-Est-Zébré-Par-Un-Eclair s'apprête à revenir sur le devant de la scène pour une aventure que se partagent toutes les consoles de salon de la galaxie, conformément à la politique multi plates-formes d'Electronic Arts. Harry Potter Et L'Ordre Du Phénix, un jeu basé sur le film du même nom plus que sur le roman de la richissime J.K. Rowling, précède donc de quelques jours les nouvelles pérégrinations pelliculées du petit sorcier et vous propose pour la première fois d'explorer librement Poudlard."
6385,Harry Potter et l'Ordre du Phénix,Harry Potter and the Order of the Phoenix,360,11/20,--/20,Electronic Arts,28 Juin 2007,Action Aventure,+7 ans,http://www.jeuxvideo.com/jeux/jeu-65326/," Avis à tous les Moldus, Celui-Dont-Le-Front-Est-Zébré-Par-Un-Eclair s'apprête à revenir sur le devant de la scène pour une aventure que se partagent toutes les consoles de salon de la galaxie, conformément à la politique multi plates-formes d'Electronic Arts. Harry Potter Et L'Ordre Du Phénix, un jeu basé sur le film du même nom plus que sur le roman de la richissime J.K. Rowling, précède donc de quelques jours les nouvelles pérégrinations pelliculées du petit sorcier et vous propose pour la première fois d'explorer librement Poudlard."
6386,Harry Potter et la Chambre des Secrets,Harry Potter and the Chamber of Secrets,GB,15/20,17.2/20,Eurocom Argonaut Electronic Arts Griptonite Games KnowWonder,14 Novembre 2002,Action Aventure RPG Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/jeu-61118/," Dans la famille Harry Potter Seconde Edition je voudrais la version GBC. Voici venue l'ultime version console de la Chambre des Secrets, un épisode Gameboy Color dans la lignée de son prédécesseur, et qui tend fortement du côté du jeu de rôles."
6387,Harry Potter et la Chambre des Secrets,Harry Potter and the Chamber of Secrets,GBA,16/20,17.2/20,Eurocom Argonaut Electronic Arts Griptonite Games KnowWonder,14 Novembre 2002,Action Aventure RPG Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/jeu-61118/," Après la jolie performance des versions consoles et PC du nouveau chapitre de la saga Harry Potter, nous étions curieux de voir ce que pourrait donner le jeu sur consoles portables, et notamment sur Gameboy Advance. Déjà relativement impressionnant dans sa première mouture GBA, Harry Potter nous revient dans un épisode complètement retravaillé et sujet à de nombreuses améliorations qui rendent ce titre plus que jamais incontournable pour les fans de la série."
6388,Harry Potter et la Chambre des Secrets,Harry Potter and the Chamber of Secrets,Xbox,14/20,--/20,Unknown,Unknown,Unknown,Unknown,None," Suite à la déferlante Potter de l'an passé, Electronic Arts n'allait certainement pas lâcher sa superbe licence de si tôt. Pour la première fois sur console nouvelle génération, le jeune sorcier renouvellera-t-il la bonne performance de l'épisode précédent ?"
6389,Harry Potter et la Chambre des Secrets,Harry Potter and the Chamber of Secrets,PS1,15/20,--/20,Unknown,Unknown,Unknown,Unknown,None," L'incontournable Harry Potter poursuit sa tournée des consoles et nous gratifie d'une version PSX qui ne dépareille pas face à ses concurrentes. L'avantage avec l'adaptation vidéoludique de l'oeuvre de J.K. Rowling, c'est que l'éditeur prend la peine de nous sortir des versions différentes pour chaque support (PC, GBC, GBA, 32 bits et consoles nouvelle génération). Une aubaine pour les rédacteurs feignants qui n'ont pas forcément envie de recommencer 15 fois la même aventure."
6390,Harry Potter et la Chambre des Secrets,Harry Potter and the Chamber of Secrets,PS2,14/20,--/20,Unknown,Unknown,Unknown,Unknown,None," Suite à la déferlante Potter de l'an passé, Electronic Arts n'allait certainement pas lâcher sa superbe licence de si tôt. Pour la première fois sur console nouvelle génération, le jeune sorcier renouvellera-t-il la bonne performance de l'épisode précédent ?"
6391,Harry Potter et la Chambre des Secrets,Harry Potter and the Chamber of Secrets,NGC,14/20,--/20,Unknown,Unknown,Unknown,Unknown,None," Suite à la déferlante Potter de l'an passé, Electronic Arts n'allait certainement pas lâcher sa superbe licence de si tôt. Pour la première fois sur console nouvelle génération, le jeune sorcier renouvellera-t-il la bonne performance de l'épisode précédent ?"
6392,Harry Potter et la Chambre des Secrets,Harry Potter and the Chamber of Secrets,PC,15/20,--/20,Unknown,Unknown,Unknown,Unknown,None," Le jeune Potter continue son petit bonhomme de chemin dans la littérature et sur nos écrans, pour le plus grand bonheur des fans de J.K. Rowling, celle à qui l'on doit la création de l'un des personnages les plus charismatiques de ces dernières années. Il faudra s'y habituer, les fêtes de fin d'année marquent désormais le rendez-vous annuel de la saga Harry Potter dans les salles obscures, et par voie de conséquence, en jeu vidéo. Un événement à ne pas manquer !"
6393,Harry Potter et la Coupe de Feu,Harry Potter and the Goblet of Fire,PSP,11/20,13/20,Magic Pockets Electronic Arts,10 Novembre 2005,Action Réflexion,+7 ans,http://www.jeuxvideo.com/jeux/jeu-63645/," L'apprenti sorcier le plus célèbre de la planète débarque pour la première fois sur PSP dans l'adaptation du quatrième film lui-même tiré du roman de J.K. Rowling. Au menu, de l'action rien que de l'action dans un jeu quasi identique à son homologue paru sur consoles de salon et sur PC."
6394,Harry Potter et la Coupe de Feu,Harry Potter and the Goblet of Fire,DS,13/20,13/20,Magic Pockets Electronic Arts,10 Novembre 2005,Action Réflexion,+7 ans,http://www.jeuxvideo.com/jeux/jeu-63645/," Ce qu'il y a de bien avec Electronic Arts, c'est que lorsqu'il est question d'adapter une licence en jeu vidéo, aucun support n'est oublié. Sortant le même jour que les versions PC et consoles de salon, soit juste avant la diffusion du film dans les salles obscures, l'adaptation portable de Harry Potter et la Coupe de Feu nous dévoile tous ses secrets. Voyons tout de suite de quoi il s'agit."
6395,Harry Potter et la Coupe de Feu,Harry Potter and the Goblet of Fire,GBA,13/20,--/20,Magic Pockets Electronic Arts,10 Novembre 2005,Action Réflexion,+7 ans,http://www.jeuxvideo.com/jeux/jeu-63645/," Ce qu'il y a de bien avec Electronic Arts, c'est que lorsqu'il est question d'adapter une licence en jeu vidéo, aucun support n'est oublié. Sortant le même jour que les versions PC et consoles de salon, soit juste avant la diffusion du film dans les salles obscures, l'adaptation portable de Harry Potter et la Coupe de Feu nous dévoile tous ses secrets. Voyons tout de suite de quoi il s'agit."
6396,Harry Potter et la Coupe de Feu,Harry Potter and the Goblet of Fire,PC,13/20,--/20,Magic Pockets Electronic Arts,10 Novembre 2005,Action Réflexion,+7 ans,http://www.jeuxvideo.com/jeux/jeu-63645/," Alors que le sixième tome des aventures d'Harry Potter est enfin dans les bacs, l'apprenti-sorcier s'apprête à remplir les salles obscures avec la sortie prochaine du nouveau long-métrage. Celui-ci est inspiré du quatrième roman de la série, intitulé Harry Potter et la Coupe de Feu, tout comme le jeu vidéo qui est adapté directement du long-métrage. Et pour l'occasion, Electronic Arts a revu sa copie en abandonnant le côté plates-formes des précédents volets au profit d'un jeu davantage tourné vers l'action."
6397,Harry Potter et la Coupe de Feu,Harry Potter and the Goblet of Fire,NGC,13/20,--/20,Magic Pockets Electronic Arts,10 Novembre 2005,Action Réflexion,+7 ans,http://www.jeuxvideo.com/jeux/jeu-63645/," Alors que le sixième tome des aventures d'Harry Potter est enfin dans les bacs, l'apprenti-sorcier s'apprête à remplir les salles obscures avec la sortie prochaine du nouveau long-métrage. Celui-ci est inspiré du quatrième roman de la série, intitulé Harry Potter et la Coupe de Feu, tout comme le jeu vidéo qui est adapté directement du long-métrage. Et pour l'occasion, Electronic Arts a revu sa copie en abandonnant le côté plates-formes des précédents volets au profit d'un jeu davantage tourné vers l'action."
6398,Harry Potter et la Coupe de Feu,Harry Potter and the Goblet of Fire,Xbox,13/20,--/20,Magic Pockets Electronic Arts,10 Novembre 2005,Action Réflexion,+7 ans,http://www.jeuxvideo.com/jeux/jeu-63645/," Alors que le sixième tome des aventures d'Harry Potter est enfin dans les bacs, l'apprenti-sorcier s'apprête à remplir les salles obscures avec la sortie prochaine du nouveau long-métrage. Celui-ci est inspiré du quatrième roman de la série, intitulé Harry Potter et la Coupe de Feu, tout comme le jeu vidéo qui est adapté directement du long-métrage. Et pour l'occasion, Electronic Arts a revu sa copie en abandonnant le côté plates-formes des précédents volets au profit d'un jeu davantage tourné vers l'action."
6399,Harry Potter et la Coupe de Feu,Harry Potter and the Goblet of Fire,PS2,13/20,--/20,Magic Pockets Electronic Arts,10 Novembre 2005,Action Réflexion,+7 ans,http://www.jeuxvideo.com/jeux/jeu-63645/," Alors que le sixième tome des aventures d'Harry Potter est enfin dans les bacs, l'apprenti-sorcier s'apprête à remplir les salles obscures avec la sortie prochaine du nouveau long-métrage. Celui-ci est inspiré du quatrième roman de la série, intitulé Harry Potter et la Coupe de Feu, tout comme le jeu vidéo qui est adapté directement du long-métrage. Et pour l'occasion, Electronic Arts a revu sa copie en abandonnant le côté plates-formes des précédents volets au profit d'un jeu davantage tourné vers l'action."
6400,Harry Potter et le Prince de Sang-Mêlé,Harry Potter and the Half-Blood Prince,PSP,7/20,14.2/20,EA Bright Light Studio Electronic Arts,02 Juillet 2009,Action Aventure,+12 ans,http://www.jeuxvideo.com/jeux/jeu-67975/," Harry Potter s'apprête à revenir dans les salles obscures pour nous faire partager sa sixième année d'étude à Poudlard. Comme à son habitude, l'apprenti sorcier en profite pour faire un petit détour du côté du monde des jeux vidéo. Le nouvel épisode de ses aventures reprend le même principe que son prédécesseur en vous permettant de déambuler librement dans la célèbre école de magie."
6401,Harry Potter et le Prince de Sang-Mêlé,Harry Potter and the Half-Blood Prince,DS,7/20,--/20,EA Bright Light Studio Electronic Arts,02 Juillet 2009,Action Aventure,+12 ans,http://www.jeuxvideo.com/jeux/jeu-67975/," Harry Potter s'apprête à revenir dans les salles obscures pour nous faire partager sa sixième année d'étude à Poudlard. Comme à son habitude, l'apprenti sorcier en profite pour faire un petit détour du côté du monde des jeux vidéo. Le nouvel épisode de ses aventures reprend le même principe que son prédécesseur en vous permettant de déambuler librement dans la célèbre école de magie."
6402,Harry Potter et le Prince de Sang-Mêlé,Harry Potter and the Half-Blood Prince,Wii,10/20,14.2/20,EA Bright Light Studio Electronic Arts,02 Juillet 2009,Action Aventure,+12 ans,http://www.jeuxvideo.com/jeux/jeu-67975/," Harry Potter s'apprête à revenir dans les salles obscures pour nous faire partager sa sixième année d'étude à Poudlard. Comme à son habitude, l'apprenti sorcier en profite pour faire un petit détour du côté du monde des jeux vidéo. Le nouvel épisode de ses aventures reprend le même principe que son prédécesseur en vous permettant de déambuler librement dans la célèbre école de magie."
6403,Harry Potter et le Prince de Sang-Mêlé,Harry Potter and the Half-Blood Prince,PS2,10/20,--/20,EA Bright Light Studio Electronic Arts,02 Juillet 2009,Action Aventure,+12 ans,http://www.jeuxvideo.com/jeux/jeu-67975/," Harry Potter s'apprête à revenir dans les salles obscures pour nous faire partager sa sixième année d'étude à Poudlard. Comme à son habitude, l'apprenti sorcier en profite pour faire un petit détour du côté du monde des jeux vidéo. Le nouvel épisode de ses aventures reprend le même principe que son prédécesseur en vous permettant de déambuler librement dans la célèbre école de magie."
6404,Harry Potter et le Prince de Sang-Mêlé,Harry Potter and the Half-Blood Prince,PC,10/20,--/20,EA Bright Light Studio Electronic Arts,02 Juillet 2009,Action Aventure,+12 ans,http://www.jeuxvideo.com/jeux/jeu-67975/," Harry Potter s'apprête à revenir dans les salles obscures pour nous faire partager sa sixième année d'étude à Poudlard. Comme à son habitude, l'apprenti sorcier en profite pour faire un petit détour du côté du monde des jeux vidéo. Le nouvel épisode de ses aventures reprend le même principe que son prédécesseur en vous permettant de déambuler librement dans la célèbre école de magie."
6405,Harry Potter et le Prince de Sang-Mêlé,Harry Potter and the Half-Blood Prince,PS3,10/20,--/20,EA Bright Light Studio Electronic Arts,02 Juillet 2009,Action Aventure,+12 ans,http://www.jeuxvideo.com/jeux/jeu-67975/," Harry Potter s'apprête à revenir dans les salles obscures pour nous faire partager sa sixième année d'étude à Poudlard. Comme à son habitude, l'apprenti sorcier en profite pour faire un petit détour du côté du monde des jeux vidéo. Le nouvel épisode de ses aventures reprend le même principe que son prédécesseur en vous permettant de déambuler librement dans la célèbre école de magie."
